question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
"In Bohr's model, the energy of an electron in the nth orbit is proportional to?",n,1/n,1/n^2,n^2,C,Physics,Hard
"An object rests on a rough rotating disc at distance r from the center. If the angular velocity w is doubled, the minimum coefficient of static friction to prevent slipping must increase by a factor of?",2,4,8,16,B,Physics,Hard
A cyclist travels 90 km in 3 hours at constant speed. What is the average speed?,30 km/h,45 km/h,20 km/h,270 km/h,A,Physics,Easy
A 2 kg object has an acceleration of 3 m/s². What resultant force acts on it?,6 N,8 N,5 N,1 N,A,Physics,Medium
A 3 kg object has an acceleration of 4 m/s². What resultant force acts on it?,7 N,12 N,1 N,15 N,B,Physics,Medium
A 4 kg object has an acceleration of 2 m/s². What resultant force acts on it?,8 N,2 N,12 N,6 N,A,Physics,Medium
A 5 kg object has an acceleration of 3 m/s². What resultant force acts on it?,8 N,20 N,2 N,15 N,D,Physics,Medium
A 6 kg object has an acceleration of 2 m/s². What resultant force acts on it?,8 N,12 N,4 N,18 N,B,Physics,Medium
A 4 Ω resistor carries a current of 3 A. What is the potential difference across it?,12 V,4 V,7 V,3 V,A,Physics,Medium
A 5 Ω resistor carries a current of 2 A. What is the potential difference across it?,5 V,10 V,2 V,7 V,B,Physics,Medium
A 6 Ω resistor carries a current of 3 A. What is the potential difference across it?,9 V,18 V,6 V,3 V,B,Physics,Medium
A 8 Ω resistor carries a current of 2 A. What is the potential difference across it?,16 V,2 V,10 V,8 V,A,Physics,Medium
A wave has frequency 4 Hz and wavelength 3 m. What is its speed?,12 m/s,7 m/s,16 m/s,1 m/s,A,Physics,Medium
A wave has frequency 5 Hz and wavelength 4 m. What is its speed?,25 m/s,9 m/s,1 m/s,20 m/s,D,Physics,Medium
A wave has frequency 6 Hz and wavelength 2 m. What is its speed?,8 m/s,18 m/s,4 m/s,12 m/s,D,Physics,Medium
A wave has frequency 8 Hz and wavelength 3 m. What is its speed?,11 m/s,32 m/s,24 m/s,5 m/s,C,Physics,Medium
An object has initial speed 0 m/s and constant acceleration 4 m/s² for 5 s. How far does it travel?,100 m,59 m,50 m,20 m,C,Physics,Hard
An object has initial speed 2 m/s and constant acceleration 3 m/s² for 4 s. How far does it travel?,32 m,20 m,24 m,56 m,A,Physics,Hard
An object has initial speed 5 m/s and constant acceleration 2 m/s² for 6 s. How far does it travel?,66 m,102 m,36 m,42 m,A,Physics,Hard
An object has initial speed 1 m/s and constant acceleration 5 m/s² for 3 s. How far does it travel?,25.5 m,18 m,22.5 m,48 m,A,Physics,Hard
An object has initial speed 4 m/s and constant acceleration 3 m/s² for 5 s. How far does it travel?,37.5 m,95 m,35 m,57.5 m,D,Physics,Hard
A 2 kg body moving at 6 m/s sticks to a stationary 4 kg body. What is their common speed?,6 m/s,1 m/s,2 m/s,3 m/s,C,Physics,Hard
A 3 kg body moving at 8 m/s sticks to a stationary 5 kg body. What is their common speed?,8 m/s,4.8 m/s,1 m/s,3 m/s,D,Physics,Hard
A 4 kg body moving at 5 m/s sticks to a stationary 6 kg body. What is their common speed?,0.5 m/s,2 m/s,3.33333 m/s,5 m/s,B,Physics,Hard
A 5 kg body moving at 4 m/s sticks to a stationary 3 kg body. What is their common speed?,0.5 m/s,4 m/s,2.5 m/s,6.66667 m/s,C,Physics,Hard
A 6 kg body moving at 3 m/s sticks to a stationary 2 kg body. What is their common speed?,3 m/s,2.25 m/s,0.375 m/s,9 m/s,B,Physics,Hard
Which organelle is primarily responsible for ATP production in eukaryotic cells?,Nucleus,Mitochondrion,Golgi apparatus,Lysosome,B,Biology,Easy
What is the basic structural and functional unit of all living organisms?,Tissue,Organ,Cell,Organism,C,Biology,Easy
Which of the following is a prokaryotic organism?,Fungus,Plant,Bacterium,Protist,C,Biology,Easy
What is the main function of ribosomes in a cell?,Lipid synthesis,Protein synthesis,DNA replication,Energy production,B,Biology,Easy
Which process describes the movement of water across a semipermeable membrane?,Diffusion,Active transport,Osmosis,Endocytosis,C,Biology,Easy
What is the chemical formula for glucose?,C6H12O6,C12H22O11,CH4,CO2,A,Biology,Easy
Which nitrogenous base is found in RNA but not in DNA?,Adenine,Thymine,Cytosine,Uracil,D,Biology,Easy
What type of bond joins amino acids together in a protein?,Hydrogen bond,Peptide bond,Ionic bond,Glycosidic bond,B,Biology,Easy
In which phase of the cell cycle does DNA replication occur?,G1 phase,S phase,G2 phase,M phase,B,Biology,Easy
Which blood vessels carry oxygenated blood away from the heart?,Veins,Capillaries,Arteries,Venules,C,Biology,Easy
What is the primary function of red blood cells?,Immune defense,Clotting,Oxygen transport,Nutrient digestion,C,Biology,Easy
Which organ is responsible for the production of bile?,Gallbladder,Liver,Pancreas,Stomach,B,Biology,Easy
Where does the majority of nutrient absorption take place in the human digestive system?,Stomach,Large intestine,Small intestine,Esophagus,C,Biology,Easy
Which enzyme is found in human saliva and begins the digestion of starch?,Pepsin,Lipase,Amylase,Trypsin,C,Biology,Easy
What is the structural unit of the nervous system?,Nephron,Neuron,Myocyte,Osteocyte,B,Biology,Easy
Which part of the brain controls balance and coordination?,Cerebrum,Cerebellum,Brainstem,Hypothalamus,B,Biology,Easy
Which hormone is primarily responsible for regulating blood sugar levels?,Insulin,Adrenaline,Testosterone,Thyroxine,A,Biology,Easy
What is the main function of the human skeletal system?,Hormone production,Support and protection,Digestion,Gas exchange,B,Biology,Easy
Which gas is a byproduct of cellular respiration?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Biology,Easy
Which structure connects bone to muscle?,Ligament,Tendon,Cartilage,Fascia,B,Biology,Easy
What is the functional unit of the human kidney?,Alveolus,Neuron,Nephron,Villus,C,Biology,Easy
Which vitamin is primarily produced in the skin when exposed to sunlight?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,D,Biology,Easy
What type of biomolecule is DNA?,Protein,Lipid,Carbohydrate,Nucleic acid,D,Biology,Easy
Which process converts light energy into chemical energy?,Cellular respiration,Photosynthesis,Fermentation,Glycolysis,B,Biology,Easy
What is the green pigment in plants that captures sunlight?,Hemoglobin,Chlorophyll,Melanin,Carotene,B,Biology,Easy
"In humans, how many chromosomes are found in a normal somatic cell?",23,46,44,48,B,Biology,Easy
Which scientist is known as the father of genetics?,Charles Darwin,Gregor Mendel,Louis Pasteur,James Watson,B,Biology,Easy
What term describes a genotype with two identical alleles?,Heterozygous,Homozygous,Dominant,Recessive,B,Biology,Easy
Which molecule carries the genetic instruction from DNA to the ribosome?,tRNA,rRNA,mRNA,snRNA,C,Biology,Easy
What is the final product of glycolysis?,Lactic acid,Pyruvate,Acetyl-CoA,Ethanol,B,Biology,Easy
Which type of cell lacks a nucleus?,Epithelial cell,White blood cell,Red blood cell,Muscle cell,C,Biology,Easy
Which structure regulates the passage of substances in and out of the cell?,Cell wall,Cytoplasm,Cell membrane,Nucleus,C,Biology,Easy
What is the biological term for programmed cell death?,Necrosis,Apoptosis,Mitosis,Meiosis,B,Biology,Easy
Which phase of mitosis involves the alignment of chromosomes along the cell equator?,Prophase,Metaphase,Anaphase,Telophase,B,Biology,Easy
Which type of muscle tissue is under voluntary control?,Smooth muscle,Cardiac muscle,Skeletal muscle,Involuntary muscle,C,Biology,Easy
What is the largest organ of the human body?,Liver,Heart,Skin,Brain,C,Biology,Easy
Which component of blood is essential for clotting?,Red blood cells,White blood cells,Plasma,Platelets,D,Biology,Easy
What is the main function of the respiratory system?,Pumping blood,Gas exchange,Digestion of food,Waste elimination,B,Biology,Easy
Where are sperm cells produced in the human male body?,Prostate gland,Epididymis,Testes,Vas deferens,C,Biology,Easy
Which reproductive organ produces the human female egg?,Uterus,Fallopian tube,Ovary,Cervix,C,Biology,Easy
What is the term for the maintenance of a stable internal environment?,Homeostasis,Metabolism,Adaptation,Evolution,A,Biology,Easy
Which kingdom contains organisms that are primarily decomposers?,Plantae,Animalia,Fungi,Protista,C,Biology,Easy
What is the specific term for an organism that makes its own food?,Heterotroph,Autotroph,Omnivore,Carnivore,B,Biology,Easy
Which biome is characterized by very low temperatures and permafrost?,Desert,Rainforest,Taiga,Tundra,D,Biology,Easy
What type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Hydrogen bond,Metallic bond,B,Biology,Easy
Which of the following is a monosaccharide?,Sucrose,Lactose,Glucose,Starch,C,Biology,Easy
What is the primary storage polysaccharide in animals?,Cellulose,Starch,Glycogen,Chitin,C,Biology,Easy
Which enzyme breaks down lipids?,Protease,Amylase,Nuclease,Lipase,D,Biology,Easy
What term is used to describe enzymes that have lost their functional shape?,Activated,Denatured,Inhibited,Catalyzed,B,Biology,Easy
Which structure is responsible for storing water and waste in plant cells?,Chloroplast,Ribosome,Vacuole,Lysosome,C,Biology,Easy
What forms the main bilayer of the plasma membrane?,Proteins,Carbohydrates,Phospholipids,Nucleic acids,C,Biology,Easy
Which domain of life includes extremophiles?,Bacteria,Eukarya,Archaea,Protista,C,Biology,Easy
Which pathogen causes malaria?,Virus,Bacterium,Fungus,Plasmodium parasite,D,Biology,Easy
What is the primary function of white blood cells?,Clot blood,Transport oxygen,Fight infection,Digest food,C,Biology,Easy
Which part of the eye contains light-sensitive photoreceptor cells?,Cornea,Lens,Retina,Iris,C,Biology,Easy
What is the colored part of the human eye called?,Pupil,Sclera,Iris,Cornea,C,Biology,Easy
Which bone is the longest in the human body?,Tibia,Fibula,Femur,Humerus,C,Biology,Easy
What protects the brain from physical injury?,Sternum,Vertebrae,Cranium,Pelvis,C,Biology,Easy
Which gland is considered the master gland of the endocrine system?,Thyroid,Adrenal,Pituitary,Pancreas,C,Biology,Easy
Where does fertilization typically occur in the human female reproductive tract?,Ovary,Uterus,Fallopian tube,Cervix,C,Biology,Easy
What process involves the fusion of male and female gametes?,Meiosis,Mitosis,Fertilization,Pollination,C,Biology,Easy
Which part of the flower produces pollen?,Stigma,Style,Ovary,Anther,D,Biology,Easy
What is the genetic phenomenon where one allele completely masks another?,Incomplete dominance,Codominance,Complete dominance,Epistasis,C,Biology,Easy
Which sex chromosomes typically determine a human male?,XX,XY,YY,XO,B,Biology,Easy
What is a change in the DNA sequence called?,Transcription,Translation,Mutation,Replication,C,Biology,Easy
Which molecule is known as the universal energy currency of cells?,GTP,NADH,ATP,FADH2,C,Biology,Easy
Where does the Krebs cycle take place?,Cytosol,Mitochondrial matrix,Thylakoid,Nucleus,B,Biology,Easy
What is the end product of transcription?,DNA,Protein,RNA,Lipid,C,Biology,Easy
Which structure produces sound in the human body?,Pharynx,Larynx,Trachea,Bronchus,B,Biology,Easy
Which tube connects the throat to the stomach?,Trachea,Esophagus,Larynx,Bronchiole,B,Biology,Easy
What is the name of the fluid that surrounds the cells in tissues?,Plasma,Lymph,Interstitial fluid,Cytosol,C,Biology,Easy
Which organ filters waste from the blood and produces urine?,Liver,Spleen,Kidney,Bladder,C,Biology,Easy
What is the biological definition of a species?,Organisms that look alike,Organisms that live in the same area,Organisms that can interbreed and produce fertile offspring,Organisms with the same diet,C,Biology,Easy
Which type of symbiotic relationship benefits both organisms?,Parasitism,Commensalism,Mutualism,Competition,C,Biology,Easy
What ecological level includes all living organisms in an area and their physical environment?,Population,Community,Ecosystem,Biosphere,C,Biology,Easy
Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C,Biology,Easy
What is the term for animals that eat both plants and animals?,Carnivores,Herbivores,Omnivores,Detritivores,C,Biology,Easy
Which process releases water vapor from the leaves of plants?,Condensation,Precipitation,Transpiration,Evaporation,C,Biology,Easy
What is the protective outer layer of a plant leaf called?,Epidermis,Mesophyll,Endodermis,Cambium,A,Biology,Easy
Which plant tissue transports water from roots to leaves?,Phloem,Xylem,Parenchyma,Sclerenchyma,B,Biology,Easy
Which plant tissue transports sugars and nutrients?,Xylem,Phloem,Collenchyma,Epidermis,B,Biology,Easy
What is the term for a reflex action pathway in the nervous system?,Synapse,Nerve cord,Reflex arc,Action potential,C,Biology,Easy
Which sense organ is responsible for olfaction?,Tongue,Skin,Ear,Nose,D,Biology,Easy
What type of joint allows for the widest range of motion?,Hinge joint,Pivot joint,Ball-and-socket joint,Gliding joint,C,Biology,Easy
Which part of the ear is essential for maintaining balance?,Cochlea,Tympanic membrane,Semicircular canals,Auditory nerve,C,Biology,Easy
What is the term for a group of cells working together to perform a function?,Organ,System,Organelle,Tissue,D,Biology,Easy
Which term describes organisms that lack an internal skeleton?,Vertebrates,Invertebrates,Mammals,Reptiles,B,Biology,Easy
What is the common name for the structural material of fungal cell walls?,Cellulose,Peptidoglycan,Chitin,Keratin,C,Biology,Easy
Which organelle packages and distributes proteins?,Endoplasmic reticulum,Golgi apparatus,Nucleolus,Vacuole,B,Biology,Easy
What is the basic unit of heredity?,Chromosome,Gene,Protein,Nucleotide,B,Biology,Easy
Which enzyme is responsible for breaking down hydrogen peroxide into water and oxygen in cells?,Amylase,Lipase,Catalase,Protease,C,Biology,Medium
"In the fluid mosaic model, what provides fluidity to the cell membrane in animal cells at varying temperatures?",Glycoproteins,Integral proteins,Cholesterol,Peripheral proteins,C,Biology,Medium
Which step of cellular respiration yields the highest number of ATP molecules?,Glycolysis,Krebs cycle,Link reaction,Electron transport chain,D,Biology,Medium
What is the final electron acceptor in the mitochondrial electron transport chain?,NADH,FADH2,Oxygen,Cytochrome c,C,Biology,Medium
During which stage of meiosis does crossing over occur?,Prophase I,Metaphase I,Prophase II,Anaphase I,A,Biology,Medium
Which of the following molecules acts as a coenzyme in cellular metabolism?,ATP,NAD+,Hemoglobin,Insulin,B,Biology,Medium
"In an operon, what sequence does the repressor protein bind to in order to inhibit transcription?",Promoter,Operator,Structural gene,Enhancer,B,Biology,Medium
Which type of mutation results in a premature stop codon?,Missense mutation,Silent mutation,Nonsense mutation,Frameshift mutation,C,Biology,Medium
What is the primary role of the rough endoplasmic reticulum?,Lipid synthesis,Detoxification,Protein synthesis and modification,Calcium storage,C,Biology,Medium
Which of the following is true about non-competitive enzyme inhibition?,The inhibitor binds to the active site,Increasing substrate concentration overcomes inhibition,The inhibitor binds to an allosteric site,It lowers the Km of the enzyme,C,Biology,Medium
What property of water allows it to move up the xylem vessels in tall trees?,High specific heat capacity,Cohesion and adhesion,High heat of vaporization,Density anomaly,B,Biology,Medium
Which hormone promotes water reabsorption in the collecting ducts of the nephron?,Aldosterone,Antidiuretic hormone (ADH),Atrial natriuretic peptide (ANP),Cortisol,B,Biology,Medium
What is the function of the loop of Henle in the mammalian kidney?,Ultrafiltration of blood,Creation of a concentration gradient in the medulla,Secretion of potassium ions,Storage of urine,B,Biology,Medium
Which neurotransmitter is released at the neuromuscular junction to trigger muscle contraction?,Dopamine,Serotonin,Acetylcholine,GABA,C,Biology,Medium
"During an action potential, what causes the depolarization phase?",Opening of voltage-gated potassium channels,Closing of sodium channels,Opening of voltage-gated sodium channels,Action of the sodium-potassium pump,C,Biology,Medium
What is the primary function of the myelin sheath in the nervous system?,Synthesize neurotransmitters,Protect the neuron from pathogens,Increase the speed of nerve impulse transmission,Provide nutrients to the axon,C,Biology,Medium
Which type of immunity is provided by the transfer of maternal antibodies across the placenta?,Naturally acquired active immunity,Artificially acquired active immunity,Naturally acquired passive immunity,Artificially acquired passive immunity,C,Biology,Medium
Which cells are responsible for producing antibodies?,T helper cells,Macrophages,B lymphocytes (Plasma cells),Cytotoxic T cells,C,Biology,Medium
What is the role of the SA node in the heart?,It delays the electrical impulse before ventricles contract,It acts as the natural pacemaker initiating the heartbeat,It opens the atrioventricular valves,It carries impulses to the Purkinje fibers,B,Biology,Medium
"In the cardiac cycle, what happens during ventricular systole?",Atria contract and ventricles relax,The semilunar valves close,Ventricles contract and pump blood into the arteries,The AV valves open,C,Biology,Medium
How does oxygen primarily travel in the blood?,Dissolved in blood plasma,Bound to the heme group of hemoglobin,Bound to the globin chain of hemoglobin,Converted to bicarbonate ions,B,Biology,Medium
What happens to the diaphragm during inhalation in humans?,It relaxes and moves upward,It contracts and moves upward,It relaxes and moves downward,It contracts and moves downward,D,Biology,Medium
Which hormone stimulates the release of an egg from the ovary during ovulation?,Follicle-stimulating hormone (FSH),Luteinizing hormone (LH),Estrogen,Progesterone,B,Biology,Medium
"In human embryonic development, what does the ectoderm ultimately form?",Muscles and bones,Digestive tract lining,Skin and nervous system,Liver and pancreas,C,Biology,Medium
Which region of the brain is crucial for temperature regulation and thirst?,Thalamus,Hypothalamus,Medulla oblongata,Pons,B,Biology,Medium
What is the primary function of osteoclasts in bone tissue?,Bone formation,Matrix calcification,Bone resorption,Cartilage production,C,Biology,Medium
"In the sliding filament theory of muscle contraction, which ions expose the binding sites on actin?",Sodium ions,Potassium ions,Calcium ions,Magnesium ions,C,Biology,Medium
Which condition describes a state where an individual has three copies of a specific chromosome?,Monosomy,Triploidy,Trisomy,Polyploidy,C,Biology,Medium
A red flower (RR) and a white flower (rr) produce pink offspring (Rr). What type of inheritance is this?,Codominance,Incomplete dominance,Multiple alleles,Polygenic inheritance,B,Biology,Medium
What is the function of DNA ligase during replication?,Unzipping the DNA double helix,Synthesizing RNA primers,Joining Okazaki fragments on the lagging strand,Adding nucleotides to the leading strand,C,Biology,Medium
Which enzyme is responsible for transcribing mRNA from a DNA template?,DNA polymerase,Helicase,RNA polymerase,Topoisomerase,C,Biology,Medium
What post-transcriptional modification protects mRNA from degradation in eukaryotes?,Intron splicing,Addition of a 5' cap and 3' poly-A tail,Translation initiation,Ribosome binding,B,Biology,Medium
Which organelle contains hydrolytic enzymes used for intracellular digestion?,Peroxisome,Lysosome,Smooth ER,Endosome,B,Biology,Medium
What role do restriction endonucleases play in bacteria?,Synthesizing plasmids,Destroying viral DNA,Replicating bacterial chromosomes,Translating viral RNA,B,Biology,Medium
Which sequence properly outlines the central dogma of molecular biology?,RNA -> DNA -> Protein,Protein -> RNA -> DNA,DNA -> RNA -> Protein,DNA -> Protein -> RNA,C,Biology,Medium
What effect does a competitive inhibitor have on an enzyme's Vmax and Km?,"Decreases Vmax, leaves Km unchanged","Leaves Vmax unchanged, increases Km","Decreases Vmax, decreases Km","Increases Vmax, increases Km",B,Biology,Medium
Which feature is characteristic of Gram-positive bacteria?,A thin layer of peptidoglycan and an outer membrane,A thick layer of peptidoglycan without an outer membrane,The presence of lipopolysaccharides in the cell wall,The absence of a cell wall,B,Biology,Medium
What is a plasmid?,A chromosomal fragment found in the nucleoid,"A small, circular, extrachromosomal piece of DNA",A viral genome integrated into a host,A membrane-bound structure in prokaryotes,B,Biology,Medium
"In the Calvin cycle, which enzyme fixes carbon dioxide into an organic molecule?",ATP synthase,RuBisCO,PEP carboxylase,Hexokinase,B,Biology,Medium
Which structure enables communication and transport between adjacent plant cells?,Desmosomes,Tight junctions,Gap junctions,Plasmodesmata,D,Biology,Medium
What is the primary end product of anaerobic respiration in human muscle cells?,Ethanol,Acetyl-CoA,Lactic acid,Pyruvate,C,Biology,Medium
Which of the following best describes the founder effect?,A sudden reduction in population size due to a disaster,Genetic drift resulting from a small group colonizing a new area,Migration of individuals between established populations,Non-random mating based on specific traits,B,Biology,Medium
"In a Hardy-Weinberg population, if the frequency of the recessive allele (q) is 0.4, what is the expected frequency of heterozygous individuals?",0.16,0.36,0.48,0.64,C,Biology,Medium
What type of selection favors intermediate phenotypes and acts against extreme variants?,Directional selection,Disruptive selection,Stabilizing selection,Sexual selection,C,Biology,Medium
Which evolutionary concept describes different species independently evolving similar traits in similar environments?,Divergent evolution,Convergent evolution,Coevolution,Adaptive radiation,B,Biology,Medium
What defines a homologous structure in comparative anatomy?,"Different structure, same function, different ancestry","Similar structure, similar ancestry, potentially different functions","Similar function, different structure, similar ancestry",Vestigial structures with no clear ancestry,B,Biology,Medium
"In an ecosystem, which trophic level typically contains the most biomass?",Primary consumers,Secondary consumers,Tertiary consumers,Producers,D,Biology,Medium
What is biological magnification?,The increase in population size over generations,The increase in concentration of a toxin at higher trophic levels,The rapid growth of algae in a eutrophic lake,The increase in species diversity near the equator,B,Biology,Medium
Which cycle involves nitrogen-fixing bacteria converting N2 gas into ammonia?,Carbon cycle,Phosphorus cycle,Nitrogen cycle,Water cycle,C,Biology,Medium
What happens during the luteal phase of the ovarian cycle?,The follicle matures,Ovulation occurs,The corpus luteum secretes progesterone,Menstruation begins,C,Biology,Medium
Which hormone is detected in most home pregnancy tests?,Estrogen,Progesterone,Luteinizing hormone (LH),Human chorionic gonadotropin (hCG),D,Biology,Medium
What is the function of the epididymis in the male reproductive system?,Sperm production,Testosterone secretion,Sperm maturation and storage,Production of seminal fluid,C,Biology,Medium
"In embryonic development, what is the blastocyst?",A solid ball of cells,A hollow ball of cells enclosing a cavity,The three-layered embryo,The fertilized egg before division,B,Biology,Medium
Which organ provides oxygen and nutrients to the growing fetus?,Amnion,Placenta,Yolk sac,Chorion,B,Biology,Medium
Which type of virus uses reverse transcriptase to copy its RNA genome into DNA?,Bacteriophage,Adenovirus,Retrovirus,Papillomavirus,C,Biology,Medium
What is the protein shell surrounding a viral genome called?,Envelope,Capsid,Capsomere,Nucleoid,B,Biology,Medium
Which cells does the Human Immunodeficiency Virus (HIV) primarily infect?,Cytotoxic T cells,B cells,Helper T cells (CD4+),Macrophages,C,Biology,Medium
What is an antigen?,A protein produced by B cells,Any substance that triggers an immune response,A type of white blood cell,A chemical released by mast cells,B,Biology,Medium
Which of the following is an example of an autoimmune disease?,Tuberculosis,Type 1 diabetes,Malaria,Influenza,B,Biology,Medium
What do mast cells release during an allergic reaction?,Antibodies,Histamine,Cytokines,Interferon,B,Biology,Medium
Which biome is known for deciduous trees that shed their leaves in winter?,Tropical rainforest,Temperate broadleaf forest,Boreal forest,Savanna,B,Biology,Medium
What is a keystone species?,The most abundant species in a community,"A species on which other species largely depend, affecting ecosystem structure",A species introduced to a new environment,A species that acts as a primary producer,B,Biology,Medium
Which demographic term refers to the maximum population size an environment can support?,Carrying capacity,Biotic potential,Exponential growth limit,Limiting factor,A,Biology,Medium
"In primary succession, what is typically the pioneer species on bare rock?",Grasses,Shrubs,Lichens,Mosses,C,Biology,Medium
What drives the movement of water and minerals through the xylem?,Active transport from the roots,Gravity,Transpiration pull and cohesion-tension,Hydrostatic pressure from the phloem,C,Biology,Medium
"According to the pressure-flow hypothesis, how does phloem sap move?",From source to sink based on turgor pressure,From sink to source via osmosis,Upward via capillary action,Downward via gravity alone,A,Biology,Medium
Which plant hormone is responsible for apical dominance and phototropism?,Ethylene,Gibberellin,Auxin,Cytokinin,C,Biology,Medium
What is the main function of stomata on the underside of a leaf?,Absorb sunlight for photosynthesis,Provide structural support,Regulate gas exchange and transpiration,Store excess carbohydrates,C,Biology,Medium
Which class of biological macromolecules contains phosphorus?,Carbohydrates,Lipids (specifically phospholipids) and nucleic acids,Proteins only,Monosaccharides,B,Biology,Medium
What type of bond forms secondary structures like alpha-helices in proteins?,Covalent bonds,Hydrogen bonds,Ionic bonds,Disulfide bridges,B,Biology,Medium
At what level of protein structure do multiple polypeptide chains interact to form a functional complex?,Primary,Secondary,Tertiary,Quaternary,D,Biology,Medium
Which functional group is found at the C-terminus of an amino acid?,Amino group,Hydroxyl group,Carboxyl group,Phosphate group,C,Biology,Medium
What type of molecule is glycogen classified as?,Disaccharide,Polypeptide,Polysaccharide,Triglyceride,C,Biology,Medium
How are triglycerides formed?,Hydrolysis of glycerol and three fatty acids,Condensation of glycerol and three fatty acids,Polymerization of monosaccharides,Peptide bonding of amino acids,B,Biology,Medium
What distinguishes an unsaturated fatty acid from a saturated fatty acid?,The presence of one or more double bonds in the hydrocarbon chain,A longer hydrocarbon tail,The absence of a carboxyl group,Being solid at room temperature,A,Biology,Medium
Which cellular junction acts to prevent fluids from leaking between adjacent animal cells?,Gap junctions,Desmosomes,Tight junctions,Plasmodesmata,C,Biology,Medium
In which organelle do both the Krebs cycle and beta-oxidation of fatty acids occur?,Endoplasmic reticulum,Golgi apparatus,Cytoplasm,Mitochondrion,D,Biology,Medium
What happens to a red blood cell placed in a hypertonic saline solution?,It swells and bursts,It maintains its shape,It shrinks and crenates,It actively transports salt out,C,Biology,Medium
Which transport mechanism involves membrane vesicles fusing with the plasma membrane to release contents?,Endocytosis,Exocytosis,Pinocytosis,Facilitated diffusion,B,Biology,Medium
What acts as the final electron acceptor in lactic acid fermentation?,Oxygen,NAD+,Pyruvate,Ethanol,C,Biology,Medium
During which specific stage of the cell cycle are the sister chromatids separated?,Metaphase,Anaphase,Prophase,Telophase,B,Biology,Medium
What is the kinetochore?,The region where crossing over occurs,A protein complex on the centromere where spindle fibers attach,The ends of linear chromosomes,An enzyme that replicates DNA,B,Biology,Medium
Which checkpoint is considered the main restriction point in the mammalian cell cycle?,G1/S checkpoint,G2/M checkpoint,Spindle assembly checkpoint,S phase checkpoint,A,Biology,Medium
What distinguishes meiosis I from meiosis II?,"Meiosis I separates sister chromatids, Meiosis II separates homologous chromosomes","Meiosis I produces diploid cells, Meiosis II produces triploid cells","Meiosis I separates homologous chromosomes, Meiosis II separates sister chromatids",There is no DNA replication before Meiosis I,C,Biology,Medium
A human cell containing 22 autosomes and a Y chromosome is a:,Somatic cell of a male,Zygote,Sperm cell,Ovum,C,Biology,Medium
Which term describes alleles of different genes assorting independently of one another during gamete formation?,Law of Segregation,Law of Independent Assortment,Linked genes,Epistasis,B,Biology,Medium
"If two genes are closely located on the same chromosome, they are likely to:",Assort independently,Be separated frequently by crossing over,Exhibit linkage and be inherited together,Cause a lethal mutation,C,Biology,Medium
What is polygenic inheritance?,One gene masking the effect of another,Multiple genes contributing to a single continuous trait,One gene affecting multiple phenotypic traits,Maternal inheritance of mitochondrial genes,B,Biology,Medium
How is mitochondrial DNA typically inherited in humans?,From both parents equally,Paternally only,Maternally only,Randomly from either parent,C,Biology,Medium
Which process describes the removal of introns and joining of exons in eukaryotic mRNA?,Capping,Polyadenylation,RNA splicing,Translation,C,Biology,Medium
What role does tRNA play in translation?,It reads the DNA template directly,It carries specific amino acids to the ribosome based on its anticodon,It forms the catalytic center of the ribosome,It modifies the synthesized protein,B,Biology,Medium
"In the lac operon, when lactose is present, what does it do?",It binds to the promoter to start transcription,"It binds to the repressor, causing it to detach from the operator",It activates the corepressor,It acts as an enzyme to digest glucose,B,Biology,Medium
What is an enhancer in eukaryotic genetics?,A protein that suppresses transcription,A DNA sequence that stimulates transcription from a distance,An enzyme that removes introns,A post-translational modification,B,Biology,Medium
Which process allows a single gene to encode multiple different proteins?,Gene amplification,Alternative RNA splicing,Polymerase chain reaction,Frameshift mutation,B,Biology,Medium
Which enzyme unzips the DNA double helix during replication?,Ligase,Helicase,Primase,Polymerase,B,Biology,Medium
What are Okazaki fragments?,Small fragments of RNA primers,Short DNA segments synthesized on the lagging strand,Pieces of degraded proteins,Regions of heterochromatin,B,Biology,Medium
What function do telomeres serve on linear chromosomes?,They encode essential housekeeping genes,They act as origins of replication,They protect the ends of chromosomes from degradation,They bind sister chromatids together,C,Biology,Medium
Which structure connects the two hemispheres of the human brain?,Corpus callosum,Medulla oblongata,Cerebral cortex,Thalamus,A,Biology,Medium
What part of the autonomic nervous system is responsible for the 'fight or flight' response?,Somatic nervous system,Parasympathetic nervous system,Sympathetic nervous system,Enteric nervous system,C,Biology,Medium
Which structure in the human eye changes shape to focus light on the retina?,Cornea,Lens,Pupil,Fovea,B,Biology,Medium
"Where are the ossicles (malleus, incus, stapes) located?",Inner ear,Middle ear,Outer ear,Cochlea,B,Biology,Medium
What is the primary function of the semi-lunar valves in the heart?,Prevent backflow of blood from ventricles to atria,Prevent backflow of blood from arteries into ventricles,Generate the electrical impulse of the heart,Mix oxygenated and deoxygenated blood,B,Biology,Medium
"In the systemic circuit, where is blood pressure the lowest?",Aorta,Arterioles,Capillaries,Vena cava,D,Biology,Medium
